Date,Open,High,Low,Close,Adj Close,Volume
2016-07-05,29320.000000,29500.000000,29240.000000,29380.000000,25219.517578,7870350
2016-07-06,28940.000000,29040.000000,28240.000000,28420.000000,24395.464844,16749150
2016-07-07,28420.000000,29000.000000,28320.000000,29000.000000,24893.326172,11495200
2016-07-08,29000.000000,29500.000000,28980.000000,29200.000000,25065.005859,13498150
2016-07-11,29200.000000,30000.000000,29200.000000,29780.000000,25562.873047,14056800
2016-07-12,29980.000000,30100.000000,29200.000000,29280.000000,25133.675781,11024700
2016-07-13,29920.000000,29920.000000,29260.000000,29620.000000,25425.529297,10009900
2016-07-14,29620.000000,30000.000000,29520.000000,30000.000000,25751.714844,12430250
2016-07-15,30000.000000,30440.000000,29720.000000,30360.000000,26060.742188,11623150
2016-07-18,30360.000000,30660.000000,30000.000000,30660.000000,26318.251953,11567200
2016-07-19,30560.000000,30800.000000,30440.000000,30660.000000,26318.251953,10122250
2016-07-20,30660.000000,30840.000000,30480.000000,30800.000000,26438.437500,7773150
2016-07-21,30800.000000,30940.000000,30740.000000,30860.000000,26489.935547,8544700
2016-07-22,30120.000000,30560.000000,30120.000000,30320.000000,26026.404297,8585150
2016-07-25,30000.000000,30460.000000,29900.000000,30040.000000,25786.054688,7732500
2016-07-26,30000.000000,30620.000000,29960.000000,30600.000000,26266.753906,7228500
2016-07-27,30240.000000,30580.000000,30240.000000,30540.000000,26215.253906,6335050
2016-07-28,30660.000000,30720.000000,29960.000000,30140.000000,25871.890625,9503700
2016-07-29,30400.000000,31140.000000,30220.000000,30780.000000,26421.257813,14985600
2016-08-01,31380.000000,31600.000000,31200.000000,31360.000000,26919.126953,11515400
2016-08-02,31360.000000,31360.000000,30920.000000,30960.000000,26575.777344,8315800
2016-08-03,30960.000000,30960.000000,30340.000000,30340.000000,26043.574219,7504900
2016-08-04,30380.000000,30660.000000,30340.000000,30340.000000,26043.574219,7009950
2016-08-05,30580.000000,31280.000000,30500.000000,31220.000000,26798.957031,6958850
2016-08-08,31320.000000,31500.000000,31120.000000,31380.000000,26936.296875,11125150
2016-08-09,31480.000000,31580.000000,31140.000000,31340.000000,26901.962891,9023200
2016-08-10,31340.000000,31400.000000,30680.000000,30820.000000,26455.601563,12340350
2016-08-11,30820.000000,31180.000000,30520.000000,31180.000000,26764.623047,10533600
2016-08-12,31180.000000,31400.000000,30880.000000,30900.000000,26524.269531,10474850
2016-08-16,30900.000000,31520.000000,30900.000000,31360.000000,26919.126953,10843100
2016-08-17,31380.000000,31400.000000,31020.000000,31320.000000,26884.800781,7446450
2016-08-18,31340.000000,32880.000000,31320.000000,32800.000000,28155.216797,18327050
2016-08-19,32760.000000,33500.000000,32720.000000,33500.000000,28756.087891,16805150
2016-08-22,33480.000000,33840.000000,33180.000000,33300.000000,28584.408203,12612200
2016-08-23,33300.000000,33880.000000,33140.000000,33740.000000,28962.097656,11545700
2016-08-24,33600.000000,33640.000000,32720.000000,33060.000000,28378.394531,15938550
2016-08-25,32600.000000,33180.000000,32440.000000,32780.000000,28138.042969,14173800
2016-08-26,32120.000000,32460.000000,32060.000000,32240.000000,27674.513672,12058000
2016-08-29,32040.000000,32800.000000,31940.000000,32800.000000,28155.216797,8925750
2016-08-30,32940.000000,33420.000000,32660.000000,32900.000000,28241.054688,7849600
2016-08-31,32820.000000,32820.000000,32220.000000,32400.000000,27811.857422,20532200
2016-09-01,31660.000000,31760.000000,31260.000000,31740.000000,27245.320313,18790150
2016-09-02,31900.000000,32260.000000,31760.000000,31940.000000,27416.998047,8153000
2016-09-05,31800.000000,32300.000000,31700.000000,32120.000000,27571.509766,8383800
2016-09-06,32140.000000,32900.000000,31940.000000,32860.000000,28206.716797,7660150
2016-09-07,32960.000000,33040.000000,32420.000000,32420.000000,27829.027344,9591850
2016-09-08,32460.000000,32780.000000,32280.000000,32780.000000,28138.042969,12070850
2016-09-09,32220.000000,32360.000000,31280.000000,31500.000000,27039.306641,13258400
2016-09-12,29800.000000,30120.000000,29120.000000,29300.000000,25150.841797,26499350
2016-09-13,30160.000000,30980.000000,29900.000000,30540.000000,26215.253906,24717250
2016-09-19,30760.000000,31380.000000,30720.000000,31160.000000,26747.453125,22408150
2016-09-20,31180.000000,31760.000000,31180.000000,31700.000000,27210.982422,12921150
2016-09-21,31900.000000,32020.000000,31520.000000,31840.000000,27331.160156,10509050
2016-09-22,32000.000000,32820.000000,31980.000000,32360.000000,27777.521484,11429950
2016-09-23,31640.000000,31960.000000,31320.000000,31420.000000,26970.628906,18299650
2016-09-26,31420.000000,31920.000000,31280.000000,31360.000000,26919.126953,14524800
2016-09-27,31000.000000,31500.000000,30660.000000,31380.000000,26936.296875,9834400
2016-09-28,31080.000000,31460.000000,31080.000000,31340.000000,26901.962891,8706400
2016-09-29,31460.000000,32380.000000,31440.000000,32000.000000,27468.498047,11397550
2016-09-30,31800.000000,32300.000000,31700.000000,31960.000000,27434.169922,11762700
2016-10-04,32200.000000,32480.000000,32120.000000,32280.000000,27708.851563,13053100
2016-10-05,32020.000000,32520.000000,31940.000000,32380.000000,27794.687500,12470450
2016-10-06,33920.000000,34000.000000,33340.000000,33820.000000,29030.773438,29558150
2016-10-07,34000.000000,34320.000000,33800.000000,34120.000000,29288.291016,26050550
2016-10-10,33000.000000,33780.000000,32560.000000,33600.000000,28841.927734,25293300
2016-10-11,32000.000000,32500.000000,30900.000000,30900.000000,26524.269531,38427150
2016-10-12,29900.000000,30900.000000,29880.000000,30700.000000,26352.589844,39088550
2016-10-13,31000.000000,31620.000000,30900.000000,31140.000000,26730.285156,21864550
2016-10-14,30960.000000,31760.000000,30940.000000,31540.000000,27073.638672,14158950
2016-10-17,31300.000000,32040.000000,30760.000000,31800.000000,27296.824219,12785200
2016-10-18,31440.000000,31900.000000,31440.000000,31780.000000,27279.656250,10384500
2016-10-19,31580.000000,32860.000000,31500.000000,32500.000000,27897.701172,15444550
2016-10-20,32520.000000,33020.000000,32180.000000,32400.000000,27811.857422,10330450
2016-10-21,32120.000000,32260.000000,31760.000000,31780.000000,27279.656250,10477500
2016-10-24,31860.000000,32160.000000,31800.000000,32160.000000,27605.843750,9289950
2016-10-25,32000.000000,32080.000000,31840.000000,31940.000000,27416.998047,9866100
2016-10-26,31940.000000,31980.000000,31240.000000,31340.000000,26901.962891,10534000
2016-10-27,31420.000000,32340.000000,31120.000000,31460.000000,27004.970703,14117000
2016-10-28,31600.000000,32280.000000,31600.000000,32280.000000,27708.851563,10214200
2016-10-31,32320.000000,32780.000000,32220.000000,32780.000000,28138.042969,12067200
